"St.no","TAM","month","year","scaled.temp","month.human","scaled"
99710,-10.8,1,1920,0,"January",-1.22922048386776
99710,-1.7,1,1922,0,"January",1.15763662817242
99710,-6.6,1,1923,0,"January",-0.127594124464602
99710,-2.1,1,1924,0,"January",1.05271983203879
99710,-3.1,1,1925,0,"January",0.790427841704699
99710,-5.9,1,1926,0,"January",0.0560102687692578
99710,-7.4,1,1927,0,"January",-0.337427716731871
99710,-3.7,1,1928,0,"January",0.633052647504248
99710,-6.4,1,1930,0,"January",-0.0751357263977853
99710,-6.3,1,1931,0,"January",-0.0489065273643765
99710,-6.7,1,1932,0,"January",-0.153823323498011
99710,0.5,1,1933,0,"January",1.73467900690741
99710,-2.4,1,1934,0,"January",0.97403223493856
99710,-5.5,1,1935,0,"January",0.160927064902892
99710,-3.7,1,1936,0,"January",0.633052647504248
99710,-0.7,1,1937,0,"January",1.41992861850651
99710,-2.5,1,1938,0,"January",0.947803035905151
99710,-4.1,1,1939,0,"January",0.528135851370613
99710,-4.8,1,1940,0,"January",0.344531458136753
99710,-5.4,1,1942,0,"January",0.187156263936301
99710,-6.1,1,1943,0,"January",0.00355187070244078
99710,-5,1,1944,0,"January",0.292073060069935
99710,-8.7,1,1945,0,"January",-0.678407304166183
99710,-4.3,1,1946,0,"January",0.475677453303796
99710,-0.1,1,1947,0,"January",1.57730381270696
99710,-8.3,1,1949,0,"January",-0.573490508032549
99710,-2.1,1,1950,0,"January",1.05271983203879
99710,-8.5,1,1952,0,"January",-0.625948906099366
99710,-8.2,1,1953,0,"January",-0.54726130899914
99710,-3.3,1,1954,0,"January",0.737969443637882
99710,-8,1,1955,0,"January",-0.494802910932323
99710,-3.9,1,1956,0,"January",0.58059424943743
99710,-2.4,1,1957,0,"January",0.97403223493856
99710,-4.7,1,1958,0,"January",0.370760657170161
99710,-7.2,1,1960,0,"January",-0.284969318665054
99710,-5.4,1,1961,0,"January",0.187156263936301
99710,-9.4,1,1962,0,"January",-0.862011697400044
99710,-8,1,1964,0,"January",-0.494802910932323
99710,-6.4,1,1965,0,"January",-0.0751357263977853
99710,-8.4,1,1969,0,"January",-0.599719707065958
99710,-8.4,1,1970,0,"January",-0.599719707065958
99710,-0.4,1,1972,0,"January",1.49861621560673
99710,-2.3,1,1973,0,"January",1.00026143397197
99710,-2.4,1,1974,0,"January",0.97403223493856
99710,-7.2,1,1975,0,"January",-0.284969318665054
99710,-9.1,1,1976,0,"January",-0.783324100299818
99710,-6.5,1,1977,0,"January",-0.101364925431194
99710,-7.5,1,1980,0,"January",-0.36365691576528
99710,-4.1,1,1983,0,"January",0.528135851370613
99710,-4.5,1,1984,0,"January",0.423219055236979
99710,-5.3,1,1985,0,"January",0.21338546296971
99710,-6.2,1,1986,0,"January",-0.022677328330968
99710,-6.6,1,1987,0,"January",-0.127594124464602
99710,-7.5,1,1988,0,"January",-0.36365691576528
99710,2.7,1,1990,0,"January",2.3117213856424
99710,-4,1,1991,0,"January",0.554365050404022
99710,-4.2,1,1992,0,"January",0.501906652337204
99710,-7.1,1,1993,0,"January",-0.258740119631645
99710,-8.9,1,1994,0,"January",-0.730865702233001
99710,-6.7,1,1995,0,"January",-0.153823323498011
99710,-4.5,1,1996,0,"January",0.423219055236979
99710,-8.9,1,1998,0,"January",-0.730865702233001
99710,-3.8,1,1999,0,"January",0.606823448470839
99710,-2.8,1,2001,0,"January",0.869115438804925
99710,-7.2,1,2002,0,"January",-0.284969318665054
99710,-5.8,1,2004,0,"January",0.0822394678026666
99710,-2.1,1,2005,0,"January",1.05271983203879
99710,0.3,1,2006,0,"January",1.68222060884059
99710,-3.5,1,2007,0,"January",0.685511045571065
99710,-1.2,1,2008,0,"January",1.28878262333946
99710,-6,1,2009,0,"January",0.0297810697358493
99710,-2,1,2010,0,"January",1.07894903107219
99710,-6.5,1,2011,0,"January",-0.101364925431194
99710,-0.6,1,2012,0,"January",1.44615781753992
99710,-2.5,1,2013,0,"January",0.947803035905151
99710,-1.2,1,2014,0,"January",1.28878262333946
99710,-2.6,1,2015,0,"January",0.921573836871742
99710,-2.1,1,2016,0,"January",1.05271983203879
99710,-8.2,2,1920,0,"February",-0.469266787411987
99710,-9.2,2,1921,0,"February",-0.762940917735004
99710,-2.8,2,1922,0,"February",1.1165735163323
99710,-7,2,1923,0,"February",-0.116857831024367
99710,-6.1,2,1924,0,"February",0.147448886266348
99710,-7.3,2,1925,0,"February",-0.204960070121272
99710,-6.7,2,1926,0,"February",-0.0287555919274623
99710,-5.7,2,1927,0,"February",0.264918538395555
99710,-5,2,1928,0,"February",0.470490429621666
99710,-2.4,2,1929,0,"February",1.23404316846151
99710,-5.4,2,1930,0,"February",0.35302077749246
99710,-2.4,2,1931,0,"February",1.23404316846151
99710,-6.6,2,1932,0,"February",0.000611821104839584
99710,-5.1,2,1933,0,"February",0.441123016589365
99710,-9.9,2,1934,0,"February",-0.968512808961116
99710,-6,2,1935,0,"February",0.17681629929865
99710,-8.5,2,1936,0,"February",-0.557369026508893
99710,-7.8,2,1937,0,"February",-0.351797135282781
99710,-3.9,2,1938,0,"February",0.793531972976985
99710,-5.9,2,1939,0,"February",0.206183712330951
99710,-10.5,2,1940,0,"February",-1.14471728715493
99710,-5.8,2,1944,0,"February",0.235551125363253
99710,-5.1,2,1945,0,"February",0.441123016589365
99710,-9,2,1946,0,"February",-0.704206091670401
99710,-6.3,2,1948,0,"February",0.0887140602017446
99710,-3,2,1949,0,"February",1.0578386902677
99710,-4.8,2,1950,0,"February",0.52922525568627
99710,-1.7,2,1951,0,"February",1.43961505968762
99710,-7.6,2,1952,0,"February",-0.293062309218177
99710,-6.5,2,1953,0,"February",0.0299792341371412
99710,-2.1,2,1954,0,"February",1.32214540755842
