"St.no","TAM","month","year","month.human","scaled.temp","scaled"
99710,-10.8,1,1920,"January",0,-1.22922048386776
99710,-1.7,1,1922,"January",0,1.15763662817242
99710,-6.6,1,1923,"January",0,-0.127594124464602
99710,-2.1,1,1924,"January",0,1.05271983203879
99710,-3.1,1,1925,"January",0,0.790427841704699
99710,-5.9,1,1926,"January",0,0.0560102687692578
99710,-7.4,1,1927,"January",0,-0.337427716731871
99710,-3.7,1,1928,"January",0,0.633052647504248
99710,-11.2,1,1920,"January",0,-1.3341372800014
99710,-6.4,1,1930,"January",0,-0.0751357263977853
99710,-6.3,1,1931,"January",0,-0.0489065273643765
99710,-6.7,1,1932,"January",0,-0.153823323498011
99710,0.5,1,1933,"January",0,1.73467900690741
99710,-2.4,1,1934,"January",0,0.97403223493856
99710,-5.5,1,1935,"January",0,0.160927064902892
99710,-3.7,1,1936,"January",0,0.633052647504248
99710,-0.7,1,1937,"January",0,1.41992861850651
99710,-2.5,1,1938,"January",0,0.947803035905151
99710,-4.1,1,1939,"January",0,0.528135851370613
99710,-4.8,1,1940,"January",0,0.344531458136753
99710,-13.9,1,1940,"January",0,-2.04232565390343
99710,-5.4,1,1942,"January",0,0.187156263936301
99710,-6.1,1,1943,"January",0,0.00355187070244078
99710,-5,1,1944,"January",0,0.292073060069935
99710,-8.7,1,1945,"January",0,-0.678407304166183
99710,-4.3,1,1946,"January",0,0.475677453303796
99710,-0.1,1,1947,"January",0,1.57730381270696
99710,-11.5,1,1940,"January",0,-1.41282487710162
99710,-8.3,1,1949,"January",0,-0.573490508032549
99710,-2.1,1,1950,"January",0,1.05271983203879
99710,-10.5,1,1950,"January",0,-1.15053288676754
99710,-8.5,1,1952,"January",0,-0.625948906099366
99710,-8.2,1,1953,"January",0,-0.54726130899914
99710,-3.3,1,1954,"January",0,0.737969443637882
99710,-8,1,1955,"January",0,-0.494802910932323
99710,-3.9,1,1956,"January",0,0.58059424943743
99710,-2.4,1,1957,"January",0,0.97403223493856
99710,-4.7,1,1958,"January",0,0.370760657170161
99710,-11.3,1,1950,"January",0,-1.36036647903481
99710,-7.2,1,1960,"January",0,-0.284969318665054
99710,-5.4,1,1961,"January",0,0.187156263936301
99710,-9.4,1,1962,"January",0,-0.862011697400044
99710,-13.1,1,1960,"January",0,-1.83249206163616
99710,-8,1,1964,"January",0,-0.494802910932323
99710,-6.4,1,1965,"January",0,-0.0751357263977853
99710,-12.8,1,1960,"January",0,-1.75380446453594
99710,-12,1,1960,"January",0,-1.54397087226867
99710,-13.5,1,1960,"January",0,-1.9374088577698
99710,-8.4,1,1969,"January",0,-0.599719707065958
99710,-8.4,1,1970,"January",0,-0.599719707065958
99710,-14.4,1,1970,"January",0,-2.17347164907047
99710,-0.4,1,1972,"January",0,1.49861621560673
99710,-2.3,1,1973,"January",0,1.00026143397197
99710,-2.4,1,1974,"January",0,0.97403223493856
99710,-7.2,1,1975,"January",0,-0.284969318665054
99710,-9.1,1,1976,"January",0,-0.783324100299818
99710,-6.5,1,1977,"January",0,-0.101364925431194
99710,-12.8,1,1970,"January",0,-1.75380446453594
