species,carbon,nitrogen
T.inermis,-21.4,8.5
T.inermis,-21,8.9
T.inermis,-21,9.5
T.inermis,-21.5,8.7
T.inermis,-21.3,8.5
T.inermis,-21.5,9.5
T.inermis,-21.7,9.4
T.inermis,-21.8,9.3
T.inermis,-21.5,9.5
T.inermis,-21.9,9.4
T.inermis,-21.1,9.5
T.inermis,-21.4,10
T.inermis,-21.7,9.9
T.inermis,-20.7,10.2
T.inermis,-21.4,10.9
T.inermis,-21.4,9.6
T.inermis,-21.5,8.8
T.inermis,-21.5,9
T.inermis,-22.3,9.1
T.inermis,-20.7,9.4
T.inermis,-21.3,8.8
T.raschii,-21.5,9.1
T.raschii,-22.1,9.5
T.raschii,-22,9.8
T.raschii,-20.6,8.8
T.raschii,-20.4,7.7
T.raschii,-20.8,8
T.raschii,-21.5,8.7
T.raschii,-21.6,8.6
T.longi,-22.3,7.9
T.longi,-22,9
T.longi,-21.6,8.3
T.longi,-22.7,7.1
T.longi,-21.6,8.5
T.longi,-23.1,7.4
M.norvegica,-20.6,8.9
M.norvegica,-21,8.8
M.norvegica,-20.8,8.5
M.norvegica,-20.8,8.8
M.norvegica,-20.7,9.1
N.megalops,-20.8,9.8
N.megalops,-21.2,10.1
N.megalops,-21.5,9.8
N.megalops,-21.2,9.4
N.megalops,-20.6,10.1
